iteration,runtime,r2_score,mape_score,mae_score,max_depth,min_samples_split,min_samples_leaf,n_estimators,hyperparameters
1,12.99480218700046,0.6086960206448456,6.275701840742072,0.3119300349022508,31,9,7,243,"{'bootstrap': True, 'max_depth': 31, 'max_features': 'log2', 'min_samples_split': 9, 'min_samples_leaf': 7, 'n_estimators': 243}"
2,342.54464942900086,0.6439370393533336,5.374534693885029,0.26484371754780167,73,7,3,379,"{'bootstrap': True, 'max_depth': 73, 'max_features': 'auto', 'min_samples_split': 7, 'min_samples_leaf': 3, 'n_estimators': 379}"
3,38.06765841900051,0.6527628669464554,5.478811650326724,0.2710438995236083,75,5,2,670,"{'bootstrap': False, 'max_depth': 75, 'max_features': 'log2', 'min_samples_split': 5, 'min_samples_leaf': 2, 'n_estimators': 670}"
4,462.62521035100144,0.6335603604949916,5.509739761118081,0.2718701248035537,51,10,7,631,"{'bootstrap': True, 'max_depth': 51, 'max_features': 'auto', 'min_samples_split': 10, 'min_samples_leaf': 7, 'n_estimators': 631}"
5,249.86311802899945,0.3605967028240435,7.549868155557521,0.3735572637081418,5,4,8,612,"{'bootstrap': False, 'max_depth': 5, 'max_features': 'auto', 'min_samples_split': 4, 'min_samples_leaf': 8, 'n_estimators': 612}"
6,10.709062956000707,0.47140753320664414,7.813235475332055,0.3883369849906161,7,8,2,243,"{'bootstrap': True, 'max_depth': 7, 'max_features': 'log2', 'min_samples_split': 8, 'min_samples_leaf': 2, 'n_estimators': 243}"
7,19.436185725997348,0.6379016124030792,5.783247248696169,0.2864281572698923,65,6,5,321,"{'bootstrap': False, 'max_depth': 65, 'max_features': 'log2', 'min_samples_split': 6, 'min_samples_leaf': 5, 'n_estimators': 321}"
8,389.95584034900094,0.36000749461187176,7.554415456255614,0.3738430428737514,5,5,10,961,"{'bootstrap': False, 'max_depth': 5, 'max_features': 'auto', 'min_samples_split': 5, 'min_samples_leaf': 10, 'n_estimators': 961}"
9,708.2911579380016,0.6370721155520517,5.470597018362114,0.26984870544052264,33,3,6,941,"{'bootstrap': True, 'max_depth': 33, 'max_features': 'auto', 'min_samples_split': 3, 'min_samples_leaf': 6, 'n_estimators': 941}"
10,783.8389290529994,0.6455028374788672,5.363077140206651,0.26426445618398264,91,4,3,883,"{'bootstrap': True, 'max_depth': 91, 'max_features': 'auto', 'min_samples_split': 4, 'min_samples_leaf': 3, 'n_estimators': 883}"
11,178.97361934299988,0.6303394332005132,5.552665379499148,0.2739160100531022,89,6,8,243,"{'bootstrap': True, 'max_depth': 89, 'max_features': 'auto', 'min_samples_split': 6, 'min_samples_leaf': 8, 'n_estimators': 243}"
12,18.119968909999443,0.6088258589670621,6.285259330220664,0.3121942596628433,23,9,7,437,"{'bootstrap': True, 'max_depth': 23, 'max_features': 'log2', 'min_samples_split': 9, 'min_samples_leaf': 7, 'n_estimators': 437}"
13,495.38655667200146,0.4542120509632744,6.189246715048869,0.3071560769671252,53,5,8,418,"{'bootstrap': False, 'max_depth': 53, 'max_features': 'auto', 'min_samples_split': 5, 'min_samples_leaf': 8, 'n_estimators': 418}"
14,425.64843626900256,0.624227485177155,5.6212427251342225,0.27748184461065833,43,3,10,631,"{'bootstrap': True, 'max_depth': 43, 'max_features': 'auto', 'min_samples_split': 3, 'min_samples_leaf': 10, 'n_estimators': 631}"
15,64.01064786799907,0.06998069070848648,9.401436468790752,0.4692006734472961,1,10,6,825,"{'bootstrap': True, 'max_depth': 1, 'max_features': 'auto', 'min_samples_split': 10, 'min_samples_leaf': 6, 'n_estimators': 825}"
16,33.21349910799836,0.5275772254321611,7.229577071561055,0.3585883040262803,9,2,3,1000,"{'bootstrap': False, 'max_depth': 9, 'max_features': 'log2', 'min_samples_split': 2, 'min_samples_leaf': 3, 'n_estimators': 1000}"
17,31.504207477002637,0.621172686901412,6.116075406525554,0.30340995888056466,61,7,5,903,"{'bootstrap': True, 'max_depth': 61, 'max_features': 'log2', 'min_samples_split': 7, 'min_samples_leaf': 5, 'n_estimators': 903}"
18,28.13849443900108,0.6394583091812012,5.810256284859081,0.287121692483949,43,5,2,651,"{'bootstrap': True, 'max_depth': 43, 'max_features': 'log2', 'min_samples_split': 5, 'min_samples_leaf': 2, 'n_estimators': 651}"
19,50.631172651003,0.2761112791858292,8.207913361773382,0.4067213639187825,3,9,2,166,"{'bootstrap': False, 'max_depth': 3, 'max_features': 'auto', 'min_samples_split': 9, 'min_samples_leaf': 2, 'n_estimators': 166}"
20,11.163898296999832,0.4146590431790977,8.391346369727007,0.41863444850893894,5,3,3,205,"{'bootstrap': False, 'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 3, 'min_samples_leaf': 3, 'n_estimators': 205}"
21,343.4499649569989,0.6331598571875052,5.512218393290916,0.2719733259525019,31,7,7,457,"{'bootstrap': True, 'max_depth': 31, 'max_features': 'auto', 'min_samples_split': 7, 'min_samples_leaf': 7, 'n_estimators': 457}"
22,400.98072384199986,0.4346671268291062,6.957122778365753,0.34383686112528605,7,5,4,747,"{'bootstrap': False, 'max_depth': 7, 'max_features': 'auto', 'min_samples_split': 5, 'min_samples_leaf': 4, 'n_estimators': 747}"
23,27.89048768900102,0.6307607032069764,5.9483664900156,0.2949714253519674,87,2,7,612,"{'bootstrap': False, 'max_depth': 87, 'max_features': 'log2', 'min_samples_split': 2, 'min_samples_leaf': 7, 'n_estimators': 612}"
24,18.398143980997702,0.6392625050900198,5.780432042619162,0.2862733396316265,47,8,5,321,"{'bootstrap': False, 'max_depth': 47, 'max_features': 'log2', 'min_samples_split': 8, 'min_samples_leaf': 5, 'n_estimators': 321}"
25,13.792167268999037,0.6498878122209808,5.510260951689578,0.2729208024027645,49,6,2,185,"{'bootstrap': False, 'max_depth': 49, 'max_features': 'log2', 'min_samples_split': 6, 'min_samples_leaf': 2, 'n_estimators': 185}"
26,11.875766885001212,0.6212025151645533,6.048158586291104,0.29950839202861596,17,6,6,146,"{'bootstrap': False, 'max_depth': 17, 'max_features': 'log2', 'min_samples_split': 6, 'min_samples_leaf': 6, 'n_estimators': 146}"
27,25.771298640996974,0.5986316837664645,6.404550445702609,0.3179224090272722,13,8,5,612,"{'bootstrap': False, 'max_depth': 13, 'max_features': 'log2', 'min_samples_split': 8, 'min_samples_leaf': 5, 'n_estimators': 612}"
28,732.1399085029989,0.6441174539969039,5.376515802030264,0.26472492020483623,85,7,2,767,"{'bootstrap': True, 'max_depth': 85, 'max_features': 'auto', 'min_samples_split': 7, 'min_samples_leaf': 2, 'n_estimators': 767}"
29,21.617879885001457,0.6007931683363079,6.4086950803548905,0.31859734080312013,33,3,9,554,"{'bootstrap': True, 'max_depth': 33, 'max_features': 'log2', 'min_samples_split': 3, 'min_samples_leaf': 9, 'n_estimators': 554}"
30,6.349640809999983,0.614115720447115,6.041584212291317,0.29951017424383364,27,7,4,50,"{'bootstrap': True, 'max_depth': 27, 'max_features': 'log2', 'min_samples_split': 7, 'min_samples_leaf': 4, 'n_estimators': 50}"
31,501.9890769279991,0.6427302926814047,5.392071674885173,0.26574354252135474,75,2,4,592,"{'bootstrap': True, 'max_depth': 75, 'max_features': 'auto', 'min_samples_split': 2, 'min_samples_leaf': 4, 'n_estimators': 592}"
32,31.23873021700274,0.6257591531499549,6.020839201068659,0.2987668006082037,55,3,8,689,"{'bootstrap': False, 'max_depth': 55, 'max_features': 'log2', 'min_samples_split': 3, 'min_samples_leaf': 8, 'n_estimators': 689}"
33,820.9591516799992,0.450058157807261,6.228903848426961,0.3090096068977471,69,7,9,728,"{'bootstrap': False, 'max_depth': 69, 'max_features': 'auto', 'min_samples_split': 7, 'min_samples_leaf': 9, 'n_estimators': 728}"
34,1139.3118463899955,0.45803572776700124,6.142402591335523,0.3050469194504307,100,4,6,922,"{'bootstrap': False, 'max_depth': 100, 'max_features': 'auto', 'min_samples_split': 4, 'min_samples_leaf': 6, 'n_estimators': 922}"
35,488.0884511719996,0.45593587792633106,6.1577515231560955,0.30571076683151643,95,7,5,379,"{'bootstrap': False, 'max_depth': 95, 'max_features': 'auto', 'min_samples_split': 7, 'min_samples_leaf': 5, 'n_estimators': 379}"
36,38.15989829599857,0.6500305107379669,5.56359185552092,0.27539613775940597,49,8,2,728,"{'bootstrap': False, 'max_depth': 49, 'max_features': 'log2', 'min_samples_split': 8, 'min_samples_leaf': 2, 'n_estimators': 728}"
37,456.36267066200526,0.6416218824762041,5.403007385528769,0.2662462806206437,81,9,2,476,"{'bootstrap': True, 'max_depth': 81, 'max_features': 'auto', 'min_samples_split': 9, 'min_samples_leaf': 2, 'n_estimators': 476}"
38,31.797117999005422,0.625461718519639,6.019463687024989,0.29877219497590646,39,9,8,728,"{'bootstrap': False, 'max_depth': 39, 'max_features': 'log2', 'min_samples_split': 9, 'min_samples_leaf': 8, 'n_estimators': 728}"
39,14.356660976998683,0.5205335826375992,7.292640080449766,0.3624122786163536,9,10,2,340,"{'bootstrap': True, 'max_depth': 9, 'max_features': 'log2', 'min_samples_split': 10, 'min_samples_leaf': 2, 'n_estimators': 340}"
40,20.352254665005603,0.6093074979542902,6.28115066189754,0.3116195580125636,59,11,7,476,"{'bootstrap': True, 'max_depth': 59, 'max_features': 'log2', 'min_samples_split': 11, 'min_samples_leaf': 7, 'n_estimators': 476}"
41,27.120447217996116,0.6525365165750187,5.482619349164921,0.27141242795659576,73,5,2,457,"{'bootstrap': False, 'max_depth': 73, 'max_features': 'log2', 'min_samples_split': 5, 'min_samples_leaf': 2, 'n_estimators': 457}"
42,390.41939002899744,0.6295707692003832,5.556714634698816,0.2741039181635691,23,3,8,573,"{'bootstrap': True, 'max_depth': 23, 'max_features': 'auto', 'min_samples_split': 3, 'min_samples_leaf': 8, 'n_estimators': 573}"
43,30.344462738998118,0.6340968260575709,5.912417182702623,0.2926536556505494,100,6,3,728,"{'bootstrap': True, 'max_depth': 100, 'max_features': 'log2', 'min_samples_split': 6, 'min_samples_leaf': 3, 'n_estimators': 728}"
44,182.05521769600455,0.4321863265993141,7.344610758690543,0.3629987568400265,5,6,9,651,"{'bootstrap': True, 'max_depth': 5, 'max_features': 'auto', 'min_samples_split': 6, 'min_samples_leaf': 9, 'n_estimators': 651}"
45,396.7776936509981,0.45005535901801486,6.229145930123029,0.30897878789165995,100,5,9,340,"{'bootstrap': False, 'max_depth': 100, 'max_features': 'auto', 'min_samples_split': 5, 'min_samples_leaf': 9, 'n_estimators': 340}"
46,832.8711489270063,0.43691404602487555,6.247246712491981,0.3101780866182149,41,3,2,554,"{'bootstrap': False, 'max_depth': 41, 'max_features': 'auto', 'min_samples_split': 3, 'min_samples_leaf': 2, 'n_estimators': 554}"
47,1349.436922342,0.44431595811931607,6.215822273590734,0.30862510192455883,45,5,3,961,"{'bootstrap': False, 'max_depth': 45, 'max_features': 'auto', 'min_samples_split': 5, 'min_samples_leaf': 3, 'n_estimators': 961}"
48,13.307018406994757,0.6383368488854657,5.785889628225565,0.2867908954959282,29,8,5,185,"{'bootstrap': False, 'max_depth': 29, 'max_features': 'log2', 'min_samples_split': 8, 'min_samples_leaf': 5, 'n_estimators': 185}"
49,40.496213815000374,0.6353141954986764,5.87132991069379,0.2911005763549059,41,2,6,903,"{'bootstrap': False, 'max_depth': 41, 'max_features': 'log2', 'min_samples_split': 2, 'min_samples_leaf': 6, 'n_estimators': 903}"
50,42.01513399399846,0.64752452868858,5.624137198793583,0.2781424761879666,41,10,2,864,"{'bootstrap': False, 'max_depth': 41, 'max_features': 'log2', 'min_samples_split': 10, 'min_samples_leaf': 2, 'n_estimators': 864}"
51,682.5430708679996,0.45501411026212163,6.223390058526979,0.30848762762293336,83,4,10,612,"{'bootstrap': False, 'max_depth': 83, 'max_features': 'auto', 'min_samples_split': 4, 'min_samples_leaf': 10, 'n_estimators': 612}"
52,829.8637091029959,0.4505397129246124,6.231423997535963,0.3091211956661853,25,6,9,767,"{'bootstrap': False, 'max_depth': 25, 'max_features': 'auto', 'min_samples_split': 6, 'min_samples_leaf': 9, 'n_estimators': 767}"
53,31.950008527004684,0.6388295229670561,5.812365777105863,0.2873264778532013,37,5,2,728,"{'bootstrap': True, 'max_depth': 37, 'max_features': 'log2', 'min_samples_split': 5, 'min_samples_leaf': 2, 'n_estimators': 728}"
54,34.13864467800158,0.6104836532008884,6.284375657792308,0.3117905520299581,27,8,7,1000,"{'bootstrap': True, 'max_depth': 27, 'max_features': 'log2', 'min_samples_split': 8, 'min_samples_leaf': 7, 'n_estimators': 1000}"
55,618.155008820002,0.45503965998916307,6.223547950991702,0.30848631033759405,81,3,10,554,"{'bootstrap': False, 'max_depth': 81, 'max_features': 'auto', 'min_samples_split': 3, 'min_samples_leaf': 10, 'n_estimators': 554}"
56,88.40478148400143,0.6399396043347311,5.4120996192548345,0.2666661101968791,37,8,4,88,"{'bootstrap': True, 'max_depth': 37, 'max_features': 'auto', 'min_samples_split': 8, 'min_samples_leaf': 4, 'n_estimators': 88}"
57,268.4175576189955,0.6367840343413708,5.476653507517971,0.2698813091080814,57,2,6,340,"{'bootstrap': True, 'max_depth': 57, 'max_features': 'auto', 'min_samples_split': 2, 'min_samples_leaf': 6, 'n_estimators': 340}"
58,606.890795567997,0.6431462980491403,5.396239788462512,0.26578198352436205,39,3,4,728,"{'bootstrap': True, 'max_depth': 39, 'max_features': 'auto', 'min_samples_split': 3, 'min_samples_leaf': 4, 'n_estimators': 728}"
59,14.021160060998227,0.5613264232014725,6.866606440803821,0.3403298419209608,11,9,9,263,"{'bootstrap': False, 'max_depth': 11, 'max_features': 'log2', 'min_samples_split': 9, 'min_samples_leaf': 9, 'n_estimators': 263}"
60,28.623319487996923,0.47176282459641,7.806080794008072,0.388550915881505,7,5,4,961,"{'bootstrap': True, 'max_depth': 7, 'max_features': 'log2', 'min_samples_split': 5, 'min_samples_leaf': 4, 'n_estimators': 961}"
61,29.66255295400333,0.6347607417641554,5.871651653588673,0.29101194914000256,77,7,6,612,"{'bootstrap': False, 'max_depth': 77, 'max_features': 'log2', 'min_samples_split': 7, 'min_samples_leaf': 6, 'n_estimators': 612}"
62,18.485337195001193,0.5963089685180429,6.471242643609857,0.3216140899393992,77,4,10,457,"{'bootstrap': True, 'max_depth': 77, 'max_features': 'log2', 'min_samples_split': 4, 'min_samples_leaf': 10, 'n_estimators': 457}"
63,555.8416623469966,0.6409466383866891,5.421765202399453,0.26723674716075335,41,10,4,670,"{'bootstrap': True, 'max_depth': 41, 'max_features': 'auto', 'min_samples_split': 10, 'min_samples_leaf': 4, 'n_estimators': 670}"
64,35.34824467499857,0.6358260784472103,5.8777431694760605,0.2907242516045891,83,7,2,941,"{'bootstrap': True, 'max_depth': 83, 'max_features': 'log2', 'min_samples_split': 7, 'min_samples_leaf': 2, 'n_estimators': 941}"
65,110.08267014900048,0.45906777277580985,6.201373294132456,0.3077226818052542,19,4,7,88,"{'bootstrap': False, 'max_depth': 19, 'max_features': 'auto', 'min_samples_split': 4, 'min_samples_leaf': 7, 'n_estimators': 88}"
66,15.612988765999035,0.6220961878813004,6.092526472045902,0.3020428633638738,19,4,4,282,"{'bootstrap': True, 'max_depth': 19, 'max_features': 'log2', 'min_samples_split': 4, 'min_samples_leaf': 4, 'n_estimators': 282}"
67,960.0880379200025,0.45586421967873003,6.157382428778498,0.3057086618698656,63,7,5,747,"{'bootstrap': False, 'max_depth': 63, 'max_features': 'auto', 'min_samples_split': 7, 'min_samples_leaf': 5, 'n_estimators': 747}"
68,649.4885602190043,0.6402958651374789,5.430888821554151,0.26773668611745655,41,8,5,825,"{'bootstrap': True, 'max_depth': 41, 'max_features': 'auto', 'min_samples_split': 8, 'min_samples_leaf': 5, 'n_estimators': 825}"
69,22.088836226997955,0.6339762184127505,5.917730118263338,0.2928048635069397,95,8,2,495,"{'bootstrap': True, 'max_depth': 95, 'max_features': 'log2', 'min_samples_split': 8, 'min_samples_leaf': 2, 'n_estimators': 495}"
70,145.7924762739931,0.27611127918583345,8.20791336177334,0.4067213639187807,3,5,2,554,"{'bootstrap': False, 'max_depth': 3, 'max_features': 'auto', 'min_samples_split': 5, 'min_samples_leaf': 2, 'n_estimators': 554}"
71,16.583749040997645,0.6038239914220412,6.347942659635628,0.3151898043808682,33,8,8,379,"{'bootstrap': True, 'max_depth': 33, 'max_features': 'log2', 'min_samples_split': 8, 'min_samples_leaf': 8, 'n_estimators': 379}"
72,14.706055707996711,0.60367260601978,6.355417953591116,0.3152969534620881,45,3,8,263,"{'bootstrap': True, 'max_depth': 45, 'max_features': 'log2', 'min_samples_split': 3, 'min_samples_leaf': 8, 'n_estimators': 263}"
73,757.4587829779994,0.45006184803770566,6.2289944106737085,0.3089925398389973,51,4,9,670,"{'bootstrap': False, 'max_depth': 51, 'max_features': 'auto', 'min_samples_split': 4, 'min_samples_leaf': 9, 'n_estimators': 670}"
74,19.19495386899507,0.6201712994190757,6.115643552095074,0.3031513338721551,67,7,5,457,"{'bootstrap': True, 'max_depth': 67, 'max_features': 'log2', 'min_samples_split': 7, 'min_samples_leaf': 5, 'n_estimators': 457}"
75,1128.2958981039992,0.4558692065470173,6.182053456280096,0.3067921285045638,25,10,7,1000,"{'bootstrap': False, 'max_depth': 25, 'max_features': 'auto', 'min_samples_split': 10, 'min_samples_leaf': 7, 'n_estimators': 1000}"
76,19.046682927000802,0.6260318222218226,6.039187698614357,0.2992802354239162,83,9,4,398,"{'bootstrap': True, 'max_depth': 83, 'max_features': 'log2', 'min_samples_split': 9, 'min_samples_leaf': 4, 'n_estimators': 398}"
77,307.9820631399998,0.5155222083673354,6.741733042185847,0.3324851037539027,7,7,10,864,"{'bootstrap': True, 'max_depth': 7, 'max_features': 'auto', 'min_samples_split': 7, 'min_samples_leaf': 10, 'n_estimators': 864}"
78,590.9286463539975,0.6246341109406603,5.619335769412563,0.2774798378651108,97,2,10,883,"{'bootstrap': True, 'max_depth': 97, 'max_features': 'auto', 'min_samples_split': 2, 'min_samples_leaf': 10, 'n_estimators': 883}"
79,707.7808057110014,0.4446191904281672,6.210999282802928,0.3085517875827065,97,7,3,495,"{'bootstrap': False, 'max_depth': 97, 'max_features': 'auto', 'min_samples_split': 7, 'min_samples_leaf': 3, 'n_estimators': 495}"
80,21.04560096100613,0.6205941471597816,6.116910034405686,0.3033088672709294,45,2,5,495,"{'bootstrap': True, 'max_depth': 45, 'max_features': 'log2', 'min_samples_split': 2, 'min_samples_leaf': 5, 'n_estimators': 495}"
81,31.23787411700323,0.620965877369656,6.119514235388069,0.3033733826813561,100,8,5,883,"{'bootstrap': True, 'max_depth': 100, 'max_features': 'log2', 'min_samples_split': 8, 'min_samples_leaf': 5, 'n_estimators': 883}"
82,31.832388504000846,0.5677599519919927,6.776653017981717,0.33559425762797435,11,10,5,903,"{'bootstrap': False, 'max_depth': 11, 'max_features': 'log2', 'min_samples_split': 10, 'min_samples_leaf': 5, 'n_estimators': 903}"
83,525.9939786960022,0.6417694479819069,5.405364966623035,0.2662587272257869,53,9,2,554,"{'bootstrap': True, 'max_depth': 53, 'max_features': 'auto', 'min_samples_split': 9, 'min_samples_leaf': 2, 'n_estimators': 554}"
84,11.413785288001236,0.6180495057925589,6.121914120409133,0.3035768901896704,65,5,5,166,"{'bootstrap': True, 'max_depth': 65, 'max_features': 'log2', 'min_samples_split': 5, 'min_samples_leaf': 5, 'n_estimators': 166}"
85,20.21614929799398,0.609476585535383,6.283157184072873,0.3120177778712511,61,6,7,476,"{'bootstrap': True, 'max_depth': 61, 'max_features': 'log2', 'min_samples_split': 6, 'min_samples_leaf': 7, 'n_estimators': 476}"
86,133.2145326280006,0.6321218087209199,5.512949110906353,0.27233234689875446,49,3,7,166,"{'bootstrap': True, 'max_depth': 49, 'max_features': 'auto', 'min_samples_split': 3, 'min_samples_leaf': 7, 'n_estimators': 166}"
87,32.27783852900029,0.6477850786038376,5.622930213309265,0.2783773723113976,63,10,2,631,"{'bootstrap': False, 'max_depth': 63, 'max_features': 'log2', 'min_samples_split': 10, 'min_samples_leaf': 2, 'n_estimators': 631}"
88,332.69074643000204,0.45802482575765097,6.195899412059374,0.3073764301900284,21,9,7,302,"{'bootstrap': False, 'max_depth': 21, 'max_features': 'auto', 'min_samples_split': 9, 'min_samples_leaf': 7, 'n_estimators': 302}"
89,617.7317701030042,0.45504794143744476,6.22346422627496,0.3084951399020189,39,2,10,554,"{'bootstrap': False, 'max_depth': 39, 'max_features': 'auto', 'min_samples_split': 2, 'min_samples_leaf': 10, 'n_estimators': 554}"
90,32.00745974900201,0.609736441139997,6.285949190766199,0.31170140201989166,59,2,7,941,"{'bootstrap': True, 'max_depth': 59, 'max_features': 'log2', 'min_samples_split': 2, 'min_samples_leaf': 7, 'n_estimators': 941}"
91,180.94867265799985,0.63880152106622,5.4378708385141765,0.267590425112003,61,3,5,205,"{'bootstrap': True, 'max_depth': 61, 'max_features': 'auto', 'min_samples_split': 3, 'min_samples_leaf': 5, 'n_estimators': 205}"
92,27.74967025100341,0.6485740852267641,5.601434020563635,0.27759558146029606,23,4,3,534,"{'bootstrap': False, 'max_depth': 23, 'max_features': 'log2', 'min_samples_split': 4, 'min_samples_leaf': 3, 'n_estimators': 534}"
93,203.66582032500446,0.5945529124787331,6.013633958067183,0.2965180601580437,11,10,10,398,"{'bootstrap': True, 'max_depth': 11, 'max_features': 'auto', 'min_samples_split': 10, 'min_samples_leaf': 10, 'n_estimators': 398}"
94,10.476601091002522,0.5938642122014506,6.4843113548740146,0.32130109696022247,61,5,10,146,"{'bootstrap': True, 'max_depth': 61, 'max_features': 'log2', 'min_samples_split': 5, 'min_samples_leaf': 10, 'n_estimators': 146}"
95,1127.1434287029988,0.45590884510859137,6.157654102781288,0.3057107570854638,59,7,5,883,"{'bootstrap': False, 'max_depth': 59, 'max_features': 'auto', 'min_samples_split': 7, 'min_samples_leaf': 5, 'n_estimators': 883}"
96,35.866114996999386,0.6211627513499399,6.117956677017046,0.30305157561526824,43,3,5,1000,"{'bootstrap': True, 'max_depth': 43, 'max_features': 'log2', 'min_samples_split': 3, 'min_samples_leaf': 5, 'n_estimators': 1000}"
97,23.378977747001045,0.630141620828162,5.950698960219592,0.29521313514472636,63,2,7,476,"{'bootstrap': False, 'max_depth': 63, 'max_features': 'log2', 'min_samples_split': 2, 'min_samples_leaf': 7, 'n_estimators': 476}"
98,17.025823027004662,0.5945814640616192,6.4850496438267315,0.32213518385155127,21,5,10,398,"{'bootstrap': True, 'max_depth': 21, 'max_features': 'log2', 'min_samples_split': 5, 'min_samples_leaf': 10, 'n_estimators': 398}"
