iteration,runtime,r2_score,mape_score,mae_score,max_depth,min_samples_split,min_samples_leaf,n_estimators,hyperparameters
1,34.57543586899919,0.527560412374665,6.380097941519189,0.31556135661645585,21,2,11,418,"{'bootstrap': True, 'max_depth': 21, 'max_features': 'auto', 'min_samples_split': 2, 'min_samples_leaf': 11, 'n_estimators': 418}"
2,16.194859942999756,0.5223188080890413,6.781138900368603,0.3362750852209434,49,11,10,515,"{'bootstrap': True, 'max_depth': 49, 'max_features': 'log2', 'min_samples_split': 11, 'min_samples_leaf': 10, 'n_estimators': 515}"
3,28.21938283500276,0.5675527516338165,6.205141844253307,0.30711049541970276,35,4,6,844,"{'bootstrap': False, 'max_depth': 35, 'max_features': 'log2', 'min_samples_split': 4, 'min_samples_leaf': 6, 'n_estimators': 844}"
4,86.27921940799934,0.3943093642565601,6.592580499491566,0.32639475382266336,37,7,7,670,"{'bootstrap': False, 'max_depth': 37, 'max_features': 'auto', 'min_samples_split': 7, 'min_samples_leaf': 7, 'n_estimators': 670}"
5,68.07786308099821,0.38869604855918555,6.650514757888504,0.32951602293892307,19,10,2,515,"{'bootstrap': False, 'max_depth': 19, 'max_features': 'auto', 'min_samples_split': 10, 'min_samples_leaf': 2, 'n_estimators': 515}"
6,10.669566607997695,0.5308502476672565,6.329508910629011,0.31276747686064066,29,7,10,88,"{'bootstrap': True, 'max_depth': 29, 'max_features': 'auto', 'min_samples_split': 7, 'min_samples_leaf': 10, 'n_estimators': 88}"
7,73.8488405600001,0.5340725593337746,6.31729233148164,0.3123232882538464,53,3,10,922,"{'bootstrap': True, 'max_depth': 53, 'max_features': 'auto', 'min_samples_split': 3, 'min_samples_leaf': 10, 'n_estimators': 922}"
8,6.344115198000509,0.5626798105661976,6.2110733156444455,0.3077625015934902,89,8,3,108,"{'bootstrap': True, 'max_depth': 89, 'max_features': 'log2', 'min_samples_split': 8, 'min_samples_leaf': 3, 'n_estimators': 108}"
9,22.705536601999484,0.5390510087455688,6.580953503877185,0.32606455374102644,73,7,7,767,"{'bootstrap': True, 'max_depth': 73, 'max_features': 'log2', 'min_samples_split': 7, 'min_samples_leaf': 7, 'n_estimators': 767}"
10,22.636950726999203,0.5728991368168841,6.108768266783187,0.3026271667720104,31,2,5,573,"{'bootstrap': False, 'max_depth': 31, 'max_features': 'log2', 'min_samples_split': 2, 'min_samples_leaf': 5, 'n_estimators': 573}"
11,12.6475287079993,0.5439208709436152,6.517759559992358,0.32300237132951326,23,2,6,263,"{'bootstrap': True, 'max_depth': 23, 'max_features': 'log2', 'min_samples_split': 2, 'min_samples_leaf': 6, 'n_estimators': 263}"
12,19.66544842499934,0.5770760784922104,6.03887141622915,0.2981560664155144,57,5,2,457,"{'bootstrap': True, 'max_depth': 57, 'max_features': 'log2', 'min_samples_split': 5, 'min_samples_leaf': 2, 'n_estimators': 457}"
13,53.10145870799897,0.5597796800649248,6.0418723983357445,0.2981978142696332,57,5,5,592,"{'bootstrap': True, 'max_depth': 57, 'max_features': 'auto', 'min_samples_split': 5, 'min_samples_leaf': 5, 'n_estimators': 592}"
14,30.114586774998315,0.5792710516517758,5.9990415949893565,0.29701890902597045,45,4,4,844,"{'bootstrap': False, 'max_depth': 45, 'max_features': 'log2', 'min_samples_split': 4, 'min_samples_leaf': 4, 'n_estimators': 844}"
15,115.23580944800051,0.40003840903738486,6.607653570504934,0.3273019344704745,67,10,10,961,"{'bootstrap': False, 'max_depth': 67, 'max_features': 'auto', 'min_samples_split': 10, 'min_samples_leaf': 10, 'n_estimators': 961}"
16,60.782376297000155,0.3942993079104033,6.593135116526635,0.3264045220280848,75,6,7,457,"{'bootstrap': False, 'max_depth': 75, 'max_features': 'auto', 'min_samples_split': 6, 'min_samples_leaf': 7, 'n_estimators': 457}"
17,21.313301647001936,0.5354333889286453,6.63819905853952,0.328663543240975,17,7,6,747,"{'bootstrap': True, 'max_depth': 17, 'max_features': 'log2', 'min_samples_split': 7, 'min_samples_leaf': 6, 'n_estimators': 747}"
18,120.80111681400012,0.3942929396702068,6.592752293675387,0.32640594475640766,41,7,7,961,"{'bootstrap': False, 'max_depth': 41, 'max_features': 'auto', 'min_samples_split': 7, 'min_samples_leaf': 7, 'n_estimators': 961}"
19,27.25920694100205,0.5816392692729966,5.959054372149292,0.2947255265584514,97,10,3,747,"{'bootstrap': False, 'max_depth': 97, 'max_features': 'log2', 'min_samples_split': 10, 'min_samples_leaf': 3, 'n_estimators': 747}"
20,21.741172842997912,0.5637681715951535,5.977853314642898,0.29514907358764153,41,5,4,205,"{'bootstrap': True, 'max_depth': 41, 'max_features': 'auto', 'min_samples_split': 5, 'min_samples_leaf': 4, 'n_estimators': 205}"
21,23.61968873799924,0.5038959705479126,7.004499644660962,0.3468489487921175,13,3,8,961,"{'bootstrap': True, 'max_depth': 13, 'max_features': 'log2', 'min_samples_split': 3, 'min_samples_leaf': 8, 'n_estimators': 961}"
22,18.771476140998857,0.5270947401439912,6.7211574826094616,0.3333917286243663,67,5,9,631,"{'bootstrap': True, 'max_depth': 67, 'max_features': 'log2', 'min_samples_split': 5, 'min_samples_leaf': 9, 'n_estimators': 631}"
23,45.25763765500233,0.3947874320964932,6.6120748576043,0.32772288508520586,19,7,6,340,"{'bootstrap': False, 'max_depth': 19, 'max_features': 'auto', 'min_samples_split': 7, 'min_samples_leaf': 6, 'n_estimators': 340}"
24,90.7526172120015,0.39526530154982104,6.840435623150005,0.33845681511490533,13,8,5,883,"{'bootstrap': False, 'max_depth': 13, 'max_features': 'auto', 'min_samples_split': 8, 'min_samples_leaf': 5, 'n_estimators': 883}"
25,22.235210588998598,0.5218476963266154,6.783321772318908,0.3364827397136911,67,11,10,825,"{'bootstrap': True, 'max_depth': 67, 'max_features': 'log2', 'min_samples_split': 11, 'min_samples_leaf': 10, 'n_estimators': 825}"
26,117.02563846600242,0.3745754875185813,6.625976251669914,0.3285778523005581,67,6,2,786,"{'bootstrap': False, 'max_depth': 67, 'max_features': 'auto', 'min_samples_split': 6, 'min_samples_leaf': 2, 'n_estimators': 786}"
27,18.162890162999247,0.5223426753054274,6.782508332856194,0.33643535382516554,89,7,10,631,"{'bootstrap': True, 'max_depth': 89, 'max_features': 'log2', 'min_samples_split': 7, 'min_samples_leaf': 10, 'n_estimators': 631}"
28,57.121754320000036,0.5541924018657979,6.102527325868662,0.3015523437564672,33,4,6,651,"{'bootstrap': True, 'max_depth': 33, 'max_features': 'auto', 'min_samples_split': 4, 'min_samples_leaf': 6, 'n_estimators': 651}"
29,116.6703557030014,0.3951331115812532,6.618096691197978,0.3274929336076538,51,5,8,941,"{'bootstrap': False, 'max_depth': 51, 'max_features': 'auto', 'min_samples_split': 5, 'min_samples_leaf': 8, 'n_estimators': 941}"
30,55.688904970000294,0.40062258959183045,6.596082683414816,0.3265327224557174,71,10,9,437,"{'bootstrap': False, 'max_depth': 71, 'max_features': 'auto', 'min_samples_split': 10, 'min_samples_leaf': 9, 'n_estimators': 437}"
