iteration,runtime,r2_score,mape_score,mae_score,max_depth,min_samples_split,min_samples_leaf,n_estimators,hyperparameters
1,13.685883891997946,0.5510917096211596,6.448194948348541,0.3192159335589438,65,4,9,398,"{'bootstrap': True, 'max_depth': 65, 'max_features': 'log2', 'min_samples_split': 4, 'min_samples_leaf': 9, 'n_estimators': 398}"
2,9.721990498997911,0.5605332004717737,6.325689337428636,0.3127295369901472,45,8,7,166,"{'bootstrap': True, 'max_depth': 45, 'max_features': 'log2', 'min_samples_split': 8, 'min_samples_leaf': 7, 'n_estimators': 166}"
3,13.763483668000845,0.4462494048831623,6.264460556226591,0.3102326066409377,33,7,8,88,"{'bootstrap': False, 'max_depth': 33, 'max_features': 'auto', 'min_samples_split': 7, 'min_samples_leaf': 8, 'n_estimators': 88}"
4,43.02298104399961,0.5964061847764695,5.657540061516241,0.27885232915030433,79,3,3,476,"{'bootstrap': True, 'max_depth': 79, 'max_features': 'auto', 'min_samples_split': 3, 'min_samples_leaf': 3, 'n_estimators': 476}"
5,10.63224736399934,0.06654400579188118,9.348485653111013,0.4661500932460644,1,3,5,321,"{'bootstrap': True, 'max_depth': 1, 'max_features': 'auto', 'min_samples_split': 3, 'min_samples_leaf': 5, 'n_estimators': 321}"
6,18.53518824600178,0.4319662216127931,6.250433514062793,0.3099555810511105,89,4,4,127,"{'bootstrap': False, 'max_depth': 89, 'max_features': 'auto', 'min_samples_split': 4, 'min_samples_leaf': 4, 'n_estimators': 127}"
7,86.14877438099938,0.42871890427542897,6.264931682775818,0.31066444069310595,77,6,3,651,"{'bootstrap': False, 'max_depth': 77, 'max_features': 'auto', 'min_samples_split': 6, 'min_samples_leaf': 3, 'n_estimators': 651}"
8,23.909790476001945,0.5968010228351324,5.651461427497793,0.2781126776660599,59,6,2,243,"{'bootstrap': True, 'max_depth': 59, 'max_features': 'auto', 'min_samples_split': 6, 'min_samples_leaf': 2, 'n_estimators': 243}"
9,51.97227654800008,0.5562868469264055,6.185863080367271,0.30489913331244317,13,9,5,767,"{'bootstrap': True, 'max_depth': 13, 'max_features': 'auto', 'min_samples_split': 9, 'min_samples_leaf': 5, 'n_estimators': 767}"
10,65.9233260530018,0.5986305540890721,5.619695427353602,0.27656906741661075,41,4,2,709,"{'bootstrap': True, 'max_depth': 41, 'max_features': 'auto', 'min_samples_split': 4, 'min_samples_leaf': 2, 'n_estimators': 709}"
11,63.36717100700116,0.4402900121390695,6.22749018801972,0.30861592866026033,49,9,5,515,"{'bootstrap': False, 'max_depth': 49, 'max_features': 'auto', 'min_samples_split': 9, 'min_samples_leaf': 5, 'n_estimators': 515}"
